iter	Passed	Remaining
0	1	197
1	3	175
2	4	160
3	6	148
4	7	145
5	9	142
6	10	140
7	11	137
8	13	135
9	14	133
10	16	131
11	17	130
12	19	128
13	20	127
14	22	126
15	23	125
16	25	123
17	27	123
18	28	121
19	29	119
20	31	117
21	32	116
22	34	115
23	35	113
24	37	112
25	38	110
26	40	108
27	41	106
28	43	105
29	44	103
30	46	102
31	47	100
32	48	99
33	50	97
34	51	95
35	52	94
36	54	92
37	55	90
38	56	89
39	58	87
40	59	85
41	60	83
42	61	81
43	62	80
44	64	78
45	65	77
46	67	75
47	68	74
48	70	73
49	71	71
50	73	70
51	74	68
52	75	67
53	77	65
54	78	63
55	79	62
56	81	61
57	82	59
58	84	58
59	85	57
60	87	55
61	88	54
62	89	52
63	91	51
64	92	49
65	93	48
66	95	46
67	96	45
68	97	43
69	98	42
70	100	40
71	101	39
72	103	38
73	104	36
74	105	35
75	106	33
76	108	32
77	109	30
78	110	29
79	111	27
80	113	26
81	114	25
82	115	23
83	117	22
84	118	20
85	119	19
86	121	18
87	122	16
88	123	15
89	125	13
90	126	12
91	128	11
92	129	9
93	130	8
94	132	6
95	133	5
96	134	4
97	136	2
98	137	1
99	138	0
